"Attained Age","Policies","Exposure","Deaths_Num","Deaths_Amt","EDeaths_Num_QX2001VBT","EDeaths_Amt_QX2001VBT","EDeaths_Num_QX2008VBT","EDeaths_Amt_QX2008VBT","EDeaths_Num_QX2008VBTLU","EDeaths_Amt_QX2008VBTLU","EDeaths_Num_QX2015VBT","EDeaths_Amt_QX2015VBT","EDeaths_Num_QX7580E","EDeaths_Amt_QX7580E","Deaths_Num_Cap","AE_Num_QX2001VBT","AE_Amt_QX2001VBT","AE_Num_QX2008VBT","AE_Amt_QX2008VBT","AE_Num_QX2008VBTLU","AE_Amt_QX2008VBTLU","AE_Num_QX2015VBT","AE_Amt_QX2015VBT","AE_Num_QX7580E","AE_Amt_QX7580E","Cred_AE_Num_QX2001VBT","Cred_AE_Amt_QX2001VBT","Cred_AE_Num_QX2008VBT","Cred_AE_Amt_QX2008VBT","Cred_AE_Num_QX2008VBTLU","Cred_AE_Amt_QX2008VBTLU","Cred_AE_Num_QX2015VBT","Cred_AE_Amt_QX2015VBT","Cred_AE_Num_QX7580E","Cred_AE_Amt_QX7580E"
33,4395255.920962,1238043988405.01,2485,300691854,2507.3415756458,545706029.15899,1896.04974978078,383579246.631757,2859.30481177256,723141454.658835,1756.66712559818,294873097.025181,3235.88292600925,828449572.38314,2485,0.991089536478473,0.551014351927555,1.31061961865047,0.783910643342677,0.86909237160325,0.415813326787995,1.41461063612368,1.01973308868636,0.767951145582606,0.362957341066665,0.991899780658423,0.591841409616869,1.28237442830971,0.803560030061764,0.880996033378344,0.468934452398466,1.37690935896194,1.0179387240922,0.789051757610431,0.420884754779071
34,4603674.03744,1388849676341.94,2592,353576182,2736.0831795453,646159724.641044,2067.54876401308,452625458.086288,3162.55199719557,855104358.21898,1940.54112529854,354389326.752844,3573.29698891663,989026274.070047,2592,0.94733962014662,0.547196255842809,1.25365846025753,0.78116724475669,0.819591267526506,0.41348892518386,1.33570990390695,0.997705504394574,0.725380512182352,0.35749928113129,0.951108341231332,0.579601852281599,1.2355050023799,0.796828347487195,0.832502495964891,0.455463492405581,1.31168430825565,0.997869713501895,0.7450340782389,0.403480833351106
35,4803621.4653,1533291035601.84,2829,430588622,2990.11453568775,755306204.797827,2260.42838544677,527753135.5575,3491.28706139571,996094484.550475,2151.05073055128,418491439.964842,3949.27139279889,1162990298.1913,2829,0.946117603936301,0.570084846734783,1.25153268212957,0.815890220235529,0.810302891240645,0.432276886056968,1.31517121368633,1.02890664152216,0.716334664960834,0.37024266038131,0.947736720321291,0.583003401210057,1.24397435665133,0.821422549582968,0.81600311467938,0.449336442852401,1.30570060893532,1.02803802356263,0.724858547070171,0.389166288535093
36,5005266.12695,1662846481008.06,3039,470307275,3293.10949107329,878196458.986142,2483.22018479054,609452663.567293,3865.73946261154,1147643690.20453,2420.2474404715,497806192.468091,4446.46246816323,1375274759.85007,3007,0.922836002944296,0.535537658103244,1.22381415011587,0.771687947423451,0.786136786866379,0.409802518860346,1.25565673541543,0.944759792296368,0.683464669219477,0.34197331960871,0.922836002944296,0.535537658103244,1.22381415011587,0.771687947423451,0.786136786866379,0.409802518860346,1.25565673541543,0.944759792296368,0.683464669219477,0.34197331960871
37,5253698.128703,1795218564204.95,3330,550356396,3673.02105498028,1017078144.63543,2753.84232894425,699137348.217479,4323.85137600184,1315758777.39234,2750.01575341143,591304788.928465,5068.80816905858,1620836013.16574,3007,0.906610648333972,0.541115153150078,1.20921955661733,0.787193528429269,0.770146730408474,0.418280619104614,1.21090215424006,0.930749093030906,0.656959168493937,0.339550942556533,0.906610648333972,0.541115153150078,1.20921955661733,0.787193528429269,0.770146730408474,0.418280619104614,1.21090215424006,0.930749093030906,0.656959168493937,0.339550942556533
38,5540135.554975,1928568131420.97,3663,607889396,4146.86368740106,1182320186.99914,3099.49132573173,806021573.2697,4889.37481082869,1510310901.34888,3146.09794331992,705278340.692545,5848.91520321386,1912119527.17446,3007,0.883318159487343,0.51414955329731,1.18180682410371,0.754185019557282,0.749175537102905,0.402492887694238,1.16429941660831,0.861914170514701,0.626269978745333,0.317913910381052,0.883318159487343,0.51414955329731,1.18180682410371,0.754185019557282,0.749175537102905,0.402492887694238,1.16429941660831,0.861914170514701,0.626269978745333,0.317913910381052
39,5856636.908078,2066229850075.46,4099,753587357,4705.95384903752,1371964428.35177,3522.52752647315,935299470.095958,5576.80534817553,1745319878.40755,3603.22265069909,838751211.915948,6794.09636027203,2258892945.64394,3007,0.871024266597588,0.549276163016364,1.16365307842009,0.805717720467312,0.735008619467237,0.4317760694318,1.13759275997133,0.898463508957073,0.603317907583501,0.333609150647542,0.871024266597588,0.549276163016364,1.16365307842009,0.805717720467312,0.735008619467237,0.4317760694318,1.13759275997133,0.898463508957073,0.603317907583501,0.333609150647542
40,6160941.075255,2191734289805.14,4566,799870393,5347.93140084931,1583759416.08656,4008.90545746159,1085167162.47135,6369.45604869739,2014269639.58444,4102.96113261298,988700188.062994,7889.63161673866,2650979224.17238,3007,0.853788064535545,0.505045390654386,1.13896425057905,0.737094173747744,0.716858702704101,0.397101945678444,1.11285480228084,0.80901207732858,0.578734245375001,0.301726390650879,0.853788064535545,0.505045390654386,1.13896425057905,0.737094173747744,0.716858702704101,0.397101945678444,1.11285480228084,0.80901207732858,0.578734245375001,0.301726390650879
41,6428016.060157,2284782628683.41,5203,955455201,6072.39053952799,1798740156.18968,4548.71612828048,1241868431.20787,7244.48863618216,2294469065.06582,4613.53912849309,1138054027.20523,9188.18583703511,3096239193.87088,3007,0.856828948357533,0.531180225065951,1.14383924018729,0.769369103030261,0.718201140383316,0.416416684603499,1.12776761074083,0.839551706825688,0.566270653672252,0.308585720021683,0.856828948357533,0.531180225065951,1.14383924018729,0.769369103030261,0.718201140383316,0.416416684603499,1.12776761074083,0.839551706825688,0.566270653672252,0.308585720021683
42,6685049.108757,2359077704079.24,5871,1129717442,6958.71542142457,2049139061.77764,5187.30328919737,1421919296.07217,8284.46507199794,2621665021.44661,5143.69033722893,1291581022.50855,10694.3853598105,3592832772.97432,3007,0.843690199188819,0.55131321396019,1.1318019542498,0.794501801277099,0.708675810565535,0.430916014349016,1.14139841535696,0.874677950753588,0.548979656377751,0.31443641087274,0.843690199188819,0.55131321396019,1.1318019542498,0.794501801277099,0.708675810565535,0.430916014349016,1.14139841535696,0.874677950753588,0.548979656377751,0.31443641087274
